model;brand;body_type;segment;usable_battery_kwh;real_range_km;efficiency_wh_km;zero_to_100_s;top_speed_kmh;towing_capacity_kg;price;charging_time_min;max_charging_power_kw;horsepower_hp;torque_nm;maintenance_cost_eur_year;seating_capacity;boot_capacity_l;adas_level;safety_rating_ncap;usage_type;energy_cost_eur_100km;insurance_rating;powertrain_type;fuel_type
Opel X2x;Opel;SUV;C;1,6;900;446;8,4;245;1745;48706;0;0;183;261;539;5;615;1;5;Personal;6,62;3;Hybrid;Hybride Diesel
Mazda Z99;Mazda;Hatchback;B;1,9;701;500;9,2;219;508;39135;0;0;150;221;583;5;497;1;3;Personal;10,97;2;Hybrid;Hybride Essence
Toyota O-Class;Toyota;SUV;D;15,5;900;322;9,5;221;1846;54985;32;0;162;249;560;7;585;1;4;Personal;5;3;Hybrid;Hybride Essence
Kia L6 Pro;Kia;Wagon;D;0;784;688;9,9;231;1215;51864;0;0;178;298;405;5;623;1;4;Personal;13,14;3;Essence;Essence
Subaru X-Class;Subaru;Hatchback;C;0;652;642;9,4;247;852;38517;0;0;160;223;211;5;361;1;4;Commercial;12,26;3;Essence;Essence
Seat H-Class;Seat;Crossover;B;0;632;608;10,1;232;1497;29003;0;0;112;185;402;7;647;0;4;Personal;11,61;2;Essence;Essence
Ford GG8;Ford;SUV;B;0;1093;450;11,6;186;1790;29486;0;0;70;143;249;6;481;0;4;Personal;6,96;2;Diesel;Diesel
Audi AA3;Audi;Hatchback;F;13,4;900;457;7,3;250;723;113372;40;0;319;444;524;5;396;2;5;Personal;5,35;6;Hybrid;Hybride Diesel
Volkswagen U8;Volkswagen;MPV;D;0;1059;599;10,6;227;1172;56750;0;0;177;316;635;5;604;1;3;Personal;9,89;4;Diesel;Diesel
BMW A3;BMW;SUV;D;0;922;563;9,5;249;1844;52172;0;0;212;314;751;7;778;1;4;Personal;10,74;4;Essence;Essence
Suzuki S8x;Suzuki;Wagon;D;0;813;679;6,7;250;1227;73272;0;0;309;569;392;5;724;2;4;Personal;11,2;5;Diesel;Diesel
Lancia S2x;Lancia;SUV;D;0;1100;505;8,6;227;1865;61233;0;0;210;421;503;7;550;1;4;Commercial;8,33;6;Diesel;Diesel
Audi 111;Audi;MPV;B;1,9;900;360;11,4;205;1173;34897;0;0;92;161;553;7;636;0;5;Personal;6,2;2;Hybrid;Hybride Essence
Volvo WW-22;Volvo;Sedan;C;0;735;577;9,7;213;966;41285;0;0;139;211;479;5;557;1;5;Personal;11,03;4;Essence;Essence
Audi NN6;Audi;SUV;D;0;752;700;9,1;232;1874;59017;0;0;190;320;584;5;719;1;4;Personal;13,98;4;Essence;Essence
Honda F1x;Honda;Wagon;B;0;626;624;9,1;227;1161;36076;0;0;145;226;582;5;854;1;5;Personal;11,92;4;Essence;Essence
Alfa Romeo 666;Alfa Romeo;SUV;B;0;914;520;8,7;250;1790;36434;0;0;180;348;558;7;734;1;5;Personal;8,58;3;Diesel;Diesel
Seat PP-1;Seat;SUV;D;0;649;700;9,2;250;1779;62190;0;0;246;428;742;7;506;2;3;Personal;15,72;5;Essence;Essence
Opel ZZ-1;Opel;Pickup;E;0;821;700;8,1;250;2353;72240;0;0;271;450;904;2;0;2;4;Personal;14,31;6;Essence;Essence
Nissan W-Class;Nissan;Crossover;D;0;1100;450;8,7;250;1442;61526;0;0;205;314;495;7;582;1;4;Sports;6,91;6;Diesel;Diesel
Skoda CC-5;Skoda;Crossover;A;0;555;653;9,5;235;1591;37736;0;0;164;269;710;6;420;1;4;Personal;10,78;4;Diesel;Diesel
BMW HH-8;BMW;Crossover;F;0;739;700;8,4;250;1602;109290;0;0;306;518;887;7;728;2;5;Personal;15,32;7;Essence;Essence
Mercedes-Benz BB5;Mercedes-Benz;Coupe;B;0;864;555;9,9;219;541;34748;0;0;132;199;753;3;337;1;3;Personal;9,15;3;Diesel;Diesel
Dacia XX-44;Dacia;Convertible;B;0;920;506;10,8;212;0;32078;0;0;120;216;489;2;294;1;4;Personal;8,35;2;Diesel;Diesel
Bentley G7;Bentley;Crossover;F;0;1100;450;9,1;235;1617;103402;0;0;235;377;551;7;669;1;5;Personal;7,65;8;Essence;Essence
Honda 999;Honda;Sedan;D;1,3;900;444;8,9;250;1122;59453;0;0;266;455;402;5;398;2;3;Personal;7,64;6;Hybrid;Hybride Essence
Citroën FF-99;Citroën;Hatchback;E;0;1100;516;7,1;250;771;75979;0;0;292;572;607;5;448;2;4;Personal;8,52;6;Diesel;Diesel
Dacia WW-3;Dacia;Crossover;D;10,6;900;338;9,7;212;1500;52066;56;0;120;161;457;7;693;1;4;Personal;5;4;Hybrid;Hybride Essence
Kia 333;Kia;Coupe;D;0;1095;474;8;250;396;62518;0;0;230;377;643;4;315;1;3;Personal;9,05;5;Essence;Essence
Suzuki 555;Suzuki;SUV;C;0;1083;480;10,5;221;1798;43019;0;0;148;288;452;6;757;1;5;Sports;7,92;3;Diesel;Diesel
Alfa Romeo RR-5;Alfa Romeo;Hatchback;C;0;693;641;10,6;230;641;44286;0;0;185;250;569;5;431;1;4;Personal;12,25;4;Essence;Essence
Citroën WW-1;Citroën;Sedan;E;1,1;900;399;8,3;250;876;80714;0;0;278;429;642;5;463;2;4;Personal;6,86;7;Hybrid;Hybride Essence
BMW U5 Pro;BMW;SUV;E;1;900;465;8,4;250;1955;78737;0;0;221;359;527;6;598;1;5;Sports;7,99;5;Hybrid;Hybride Essence
Land Rover P1 Pro;Land Rover;Coupe;C;13,5;893;468;10,4;222;606;47952;35;0;171;252;653;2;289;1;5;Personal;6;2;Hybrid;Hybride Essence
Alfa Romeo V1x;Alfa Romeo;Hatchback;C;1,5;799;500;10;189;659;43700;0;0;134;199;476;5;366;1;4;Personal;9,26;4;Hybrid;Hybride Essence
Renault OO7;Renault;Crossover;C;0;743;608;10,4;212;1511;33728;0;0;96;130;547;5;443;0;3;Personal;11,61;2;Essence;Essence
Opel D-Class;Opel;Wagon;C;0;1100;450;9,1;250;1199;44432;0;0;195;378;461;5;697;1;4;Personal;6,35;5;Diesel;Diesel
Toyota QQ-66;Toyota;MPV;E;0;1049;644;7,5;250;1148;74453;0;0;281;458;575;5;633;2;3;Commercial;10,62;5;Diesel;Diesel
Audi B4 Pro;Audi;Hatchback;A;0;573;637;9,3;211;539;32795;0;0;165;288;714;5;414;1;4;Personal;10,51;3;Diesel;Diesel
Vauxhall I7;Vauxhall;MPV;C;0;835;498;11,1;222;1299;42634;0;0;129;201;327;6;976;1;4;Personal;9,51;3;Essence;Essence
Hyundai P6 Pro;Hyundai;Crossover;E;0;1018;612;8,4;250;1642;76880;0;0;226;350;726;6;650;1;5;Personal;10,1;5;Diesel;Diesel
Suzuki N4;Suzuki;Wagon;C;0;941;562;8,5;250;1127;42750;0;0;186;323;572;5;874;1;4;Personal;9,27;5;Diesel;Diesel
Fiat CC1;Fiat;Hatchback;C;0;760;599;11;202;622;36353;0;0;112;154;273;5;482;0;5;Personal;11,44;2;Essence;Essence
Nissan XX-7;Nissan;SUV;C;1,5;900;373;9,3;231;1909;46320;0;0;158;223;491;7;703;1;4;Personal;5,53;5;Hybrid;Hybride Diesel
Toyota 444;Toyota;Crossover;A;0,9;675;500;9,7;192;1420;30201;0;0;136;201;620;6;467;1;4;Commercial;9;4;Hybrid;Hybride Essence
Mazda L55;Mazda;Sedan;B;12,1;900;300;10,7;229;734;34854;35;0;135;208;808;5;384;1;3;Personal;5;2;Hybrid;Hybride Essence
BMW 222;BMW;SUV;B;0;944;450;10,5;209;1747;28260;0;0;95;145;731;5;508;0;4;Personal;8,46;2;Essence;Essence
Fiat Q7;Fiat;Crossover;B;0;772;545;11,1;190;1663;26811;0;0;70;100;380;7;428;0;4;Personal;10,41;2;Essence;Essence
Volkswagen T6;Volkswagen;Crossover;B;0;1008;450;9,7;248;1437;33749;0;0;167;284;696;7;589;1;5;Sports;7,25;3;Diesel;Diesel
Volvo H-Class;Volvo;Hatchback;C;2;900;408;9,7;218;622;45772;0;0;155;205;489;5;431;1;4;Personal;7,01;5;Hybrid;Hybride Essence
Skoda HH-66;Skoda;SUV;A;0;713;503;10,3;205;1743;28780;0;0;115;164;445;7;654;0;5;Personal;9,61;3;Essence;Essence
Audi L9;Audi;Sedan;F;0;993;679;5,4;250;762;107127;0;0;339;456;774;5;435;2;5;Personal;12,97;8;Essence;Essence
Mercedes-Benz CC-8;Mercedes-Benz;MPV;B;0;727;535;9,8;243;1042;33535;0;0;159;220;572;7;714;1;4;Personal;10,23;3;Essence;Essence
Toyota 888;Toyota;Pickup;C;10,4;900;401;10,8;244;2469;46297;47;0;161;249;574;5;0;1;4;Commercial;5,28;3;Hybrid;Hybride Essence
Audi 111;Audi;Sedan;E;0;1001;635;8,9;250;732;75884;0;0;236;416;390;5;537;1;5;Personal;12,13;6;Essence;Essence
Aston Martin N6;Aston Martin;Hatchback;B;0;706;588;11,1;189;652;24494;0;0;71;100;376;5;365;0;4;Personal;11,23;1;Essence;Essence
Toyota 111;Toyota;Sedan;C;0;957;516;10,5;226;932;43420;0;0;138;265;475;5;403;1;4;Personal;8,51;2;Diesel;Diesel
Skoda BB-55;Skoda;SUV;D;0;822;675;9,2;250;1845;62334;0;0;219;332;693;6;511;1;3;Commercial;11,14;4;Diesel;Diesel
Toyota C2x;Toyota;Convertible;C;0;987;483;10,1;222;0;37213;0;0;112;165;605;3;319;0;4;Personal;9,22;2;Essence;Essence
Volkswagen S1;Volkswagen;SUV;B;0;813;549;11,1;208;1656;34310;0;0;128;192;735;6;529;1;4;Personal;10,48;3;Essence;Essence
Dacia N-Class;Dacia;Hatchback;D;0;919;695;8,2;250;651;65645;0;0;264;411;545;5;325;2;4;Personal;11,46;4;Diesel;Diesel
Maserati 777;Maserati;Hatchback;D;1,5;900;312;9;241;741;63394;0;0;197;319;779;5;484;1;3;Personal;5,36;4;Hybrid;Hybride Essence
Kia UU-1;Kia;Sedan;C;0;721;681;11,9;208;974;37855;0;0;92;127;474;5;461;0;5;Personal;13,01;2;Essence;Essence
BMW NN-88;BMW;Coupe;A;8,4;900;327;9,6;198;467;30136;59;0;98;167;519;3;373;0;4;Personal;5;2;Hybrid;Hybride Essence
Volvo U2x;Volvo;Crossover;A;0;822;498;10,6;210;1416;27606;0;0;70;128;528;7;453;0;3;Personal;8,21;1;Diesel;Diesel
Volvo VV1;Volvo;Crossover;D;0;964;586;8,6;250;1510;63367;0;0;258;496;685;5;438;2;5;Personal;9,66;6;Diesel;Diesel
Porsche RR-66;Porsche;Sedan;C;0;836;563;10,2;243;858;41920;0;0;163;260;682;5;472;1;4;Personal;9,28;3;Diesel;Diesel
Toyota DD-2;Toyota;MPV;B;0;805;522;12,1;185;1078;27707;0;0;86;125;626;6;951;0;5;Personal;9,96;3;Essence;Essence
Lamborghini U2;Lamborghini;SUV;C;1,3;900;312;8,7;220;1837;44091;0;0;148;244;509;7;574;1;4;Commercial;5,36;4;Hybrid;Hybride Essence
Citroën TT-3;Citroën;Coupe;E;0;933;683;9,6;250;502;68429;0;0;203;309;582;2;330;1;4;Personal;13,05;5;Essence;Essence
Skoda I6 Pro;Skoda;MPV;A;0;504;682;9,6;219;1067;28602;0;0;130;211;419;7;823;1;5;Personal;13,04;3;Essence;Essence
Volvo Q8x;Volvo;SUV;A;0,9;798;499;9,6;235;1724;41234;0;0;188;284;644;7;477;1;4;Commercial;8,59;4;Hybrid;Hybride Essence
Fiat H33;Fiat;MPV;C;0;879;513;11;186;1177;35813;0;0;85;139;533;8;930;0;4;Personal;9,79;2;Essence;Essence
Volkswagen B3;Volkswagen;Sedan;D;0;1100;450;8,9;250;717;64256;0;0;247;460;555;5;408;2;4;Personal;6,47;5;Diesel;Diesel
Ford T-Class;Ford;Crossover;C;0;893;526;9,9;230;1413;44933;0;0;150;250;441;5;696;1;3;Personal;8,67;3;Diesel;Diesel
Land Rover V6 Pro;Land Rover;Hatchback;E;0;1100;450;7,8;250;776;82208;0;0;316;632;709;5;325;2;5;Commercial;7,21;7;Diesel;Diesel
Audi T-Class;Audi;SUV;A;0;882;487;10,8;183;1741;23468;0;0;70;134;699;6;721;0;5;Personal;8,03;1;Diesel;Diesel
Toyota E88;Toyota;Sedan;C;0;583;700;9,9;211;804;43829;0;0;154;205;733;5;595;1;5;Commercial;13,54;3;Essence;Essence
Mercedes-Benz U-Class;Mercedes-Benz;Hatchback;C;0;767;582;10,5;220;830;42221;0;0;129;170;372;5;520;1;5;Commercial;11,11;3;Essence;Essence
Subaru M-Class;Subaru;Hatchback;C;0;790;574;10,6;246;742;43421;0;0;171;284;665;5;448;1;3;Personal;10,96;4;Essence;Essence
Citroën T3 Pro;Citroën;SUV;C;0;882;526;10,5;235;1883;39957;0;0;147;238;634;6;466;1;4;Personal;10,05;4;Essence;Essence
Mazda H9;Mazda;Crossover;D;0;1100;461;9,2;250;1406;57044;0;0;206;417;790;6;431;1;4;Personal;7,61;4;Diesel;Diesel
Suzuki B7 Pro;Suzuki;SUV;C;0;813;594;10,5;213;1766;41623;0;0;141;231;592;5;742;1;3;Personal;11,35;2;Essence;Essence
Kia GG4;Kia;Sedan;D;0,8;900;380;8,5;250;899;70338;0;0;277;390;576;5;492;2;4;Personal;6,53;7;Hybrid;Hybride Essence
Mercedes-Benz CC-6;Mercedes-Benz;Pickup;B;0;917;450;10,7;213;2500;35952;0;0;123;187;668;3;0;1;4;Personal;7,35;5;Diesel;Diesel
Rolls-Royce WW-8;Rolls-Royce;MPV;C;0;678;629;8,9;240;1474;47446;0;0;180;281;249;8;565;1;5;Personal;12,01;4;Essence;Essence
Peugeot UU-66;Peugeot;Hatchback;C;0;992;541;9,8;232;710;47760;0;0;185;330;492;5;359;1;4;Personal;8,93;4;Diesel;Diesel
Volkswagen UU5;Volkswagen;SUV;C;0;795;628;9,2;228;1930;49321;0;0;196;398;513;7;675;1;4;Personal;10,36;4;Diesel;Diesel
Toyota L3x;Toyota;Crossover;B;0;608;689;10,8;188;1775;30227;0;0;89;170;473;7;452;0;5;Personal;11,36;2;Diesel;Diesel
Skoda 111;Skoda;Wagon;F;0;1100;548;6,2;250;1406;116257;0;0;348;610;477;5;825;2;5;Personal;10,47;9;Essence;Essence
Ford HH-11;Ford;SUV;E;0;1039;581;8,5;250;1819;77011;0;0;263;442;540;7;741;2;4;Personal;11,1;5;Essence;Essence
Ford XX-4;Ford;Wagon;D;0;1100;471;10,4;216;1338;45473;0;0;142;232;469;5;765;1;4;Commercial;8,99;4;Essence;Essence
Opel UU-44;Opel;Hatchback;E;1,3;900;443;7,5;250;715;83155;0;0;267;421;578;5;421;2;5;Personal;7,61;6;Hybrid;Hybride Essence
Dacia QQ-6;Dacia;SUV;B;0;717;606;8,4;250;1795;35080;0;0;207;329;608;7;492;1;5;Personal;11,57;4;Essence;Essence
Citroën G7x;Citroën;Wagon;C;0;990;521;11,2;241;1301;42667;0;0;144;258;436;5;660;1;4;Personal;8,6;4;Diesel;Diesel
Volvo A66;Volvo;Crossover;C;1;900;385;10,4;226;1606;44451;0;0;155;267;489;7;482;1;3;Personal;6,62;5;Hybrid;Hybride Essence
Peugeot C6;Peugeot;Coupe;E;0;1097;525;8,1;250;561;78507;0;0;268;380;600;2;302;2;5;Personal;10,02;7;Essence;Essence
Porsche S2;Porsche;Hatchback;B;0;814;521;11,1;196;680;34339;0;0;108;219;343;5;496;0;3;Commercial;8,59;1;Diesel;Diesel
Audi K88;Audi;Hatchback;B;0;712;650;10;240;642;34871;0;0;136;246;573;5;495;1;4;Personal;10,73;2;Diesel;Diesel
Volkswagen VV-6;Volkswagen;Hatchback;D;0;801;655;9,5;250;555;54426;0;0;172;261;582;5;501;1;3;Personal;12,51;4;Essence;Essence
